"","DENINumber","InstitutionName","NoOfChildrenInFundedPlaces","TotalPupils","FullTimePupils","PartTimePupils","NurseryPupils","ReceptionPupils","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12","Year13","Year14","NoOfBoys","NoOfGirls","AddressLine1","AddressLine2","AddressLine3","Town","County","Postcode","Telephone","Management","InstitutionType","Status","DateClosed","Email","DENINumberHyphen"
"469","1010273","Orangefield Primary School",NA,471,NA,NA,52,0,58,57,61,57,64,60,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARINA PARK",NA,NA,"BELFAST","ANTRIM","BT5 6BA","028 9070 4822","Controlled","Primary","Open",NA,"info@orangefieldps.belfast.ni.sch.uk","101-0273"
"470","1010282","Carr's Glen Primary School",NA,354,NA,NA,26,0,36,49,48,50,42,55,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"629-633 OLDPARK ROAD",NA,NA,"BELFAST","ANTRIM","BT14 6QX","028 9039 1286","Controlled","Primary","Open",NA,"info@carrsglen.belfast.ni.sch.uk","101-0282"
"471","1010301","Taughmonagh Primary School",NA,264,NA,NA,52,0,20,33,31,36,35,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINDON GARDENS",NA,NA,"BELFAST","ANTRIM","BT9 6QL","028 9066 9698","Controlled","Primary","Open",NA,"info@taughmonagh.belfast.ni.sch.uk","101-0301"
"472","1010304","Greenwood Primary School",NA,310,NA,NA,52,0,87,87,84,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","1010307","Springhill Primary School",NA,156,NA,NA,0,0,26,20,16,31,24,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"247 BALLYGOMARTIN ROAD",NA,NA,"BELFAST","ANTRIM","BT13 3NH","028 9039 1987","Controlled","Primary","Open",NA,"info@springhill.belfast.ni.sch.uk","101-0307"
"474","1010323","Edenbrooke Primary School",NA,362,NA,NA,0,0,60,61,43,46,55,53,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230 TENNENT STREET",NA,NA,"BELFAST","ANTRIM","BT13 3GG","028 9035 1528","Controlled","Primary","Open",NA,"info@edenbrooke.belfast.ni.sch.uk","101-0323"
"475","1010324","Stranmillis Primary School",NA,470,NA,NA,52,0,60,60,61,60,59,60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KNIGHTSBRIDGE PARK",NA,NA,"BELFAST","ANTRIM","BT9 5EH","028 9038 1164","Controlled","Primary","Open",NA,"info@stranmillis.belfast.ni.sch.uk","101-0324"
"476","1010325","Ligoniel Primary School",NA,184,NA,NA,0,0,27,25,23,30,25,27,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIGONIEL ROAD",NA,NA,"BELFAST","ANTRIM","BT14 8BW","028 9039 1502","Controlled","Primary","Open",NA,"info@ligoniel.belfast.ni.sch.uk","101-0325"
"477","1010806","Finaghy Primary School",NA,418,NA,NA,0,0,56,54,61,60,65,63,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38 FINAGHY ROAD SOUTH",NA,NA,"BELFAST","ANTRIM","BT10 0DR","028 9061 2623","Controlled","Primary","Open",NA,"info@finaghy.belfast.ni.sch.uk","101-0806"
"478","1010831","Cavehill Primary School",NA,406,NA,NA,0,0,60,61,62,57,57,51,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UPPER CASTLE PARK",NA,NA,"BELFAST","ANTRIM","BT15 5FG","028 9077 7703","Controlled","Primary","Open",NA,"info@cavehill.belfast.ni.sch.uk","101-0831"
"479","1013018","Knocknagoney Primary School",NA,294,NA,NA,27,0,32,31,34,50,37,38,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KNOCKNAGONEY ROAD",NA,NA,"BELFAST","ANTRIM","BT4 2NR","028 9076 8496","Controlled","Primary","Open",NA,"info@knocknagoney.belfast.ni.sch.uk","101-3018"
"480","1016059","Blackmountain Primary School",NA,171,NA,NA,26,0,21,22,21,20,25,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACK MOUNTAIN PLACE",NA,NA,"BELFAST","ANTRIM","BT13 3TT","028 9032 6086","Controlled","Primary","Open",NA,"info@blackmountain.belfast.ni.sch.uk","101-6059"
"481","1016060","Donegall Road Primary School",NA,211,NA,NA,0,0,31,25,28,26,43,34,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALDON STREET",NA,NA,"BELFAST","ANTRIM","BT12 6HE","028 9032 3018","Controlled","Primary","Open",NA,"info@donegallroad.belfast.ni.sch.uk","101-6060"
"482","1016076","Ballysillan Primary School",NA,233,NA,NA,27,0,40,28,21,31,30,33,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BALLYSILLAN PARK",NA,NA,"BELFAST","ANTRIM","BT14 8LT","028 9039 1668","Controlled","Primary","Open",NA,"info@ballysillan.belfast.ni.sch.uk","101-6076"
"483","1016205","Fane Street Primary School",NA,263,NA,NA,26,0,34,27,36,34,44,22,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FANE STREET",NA,NA,"BELFAST","ANTRIM","BT9 7BW","028 9038 1945","Controlled","Primary","Open",NA,"info@fanestreet.belfast.ni.sch.uk","101-6205"
"484","1016207","Blythefield Primary School",NA,153,NA,NA,0,0,29,25,24,28,23,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLYTHE STREET",NA,NA,"BELFAST","ANTRIM","BT12 5HX","028 9032 8343","Controlled","Primary","Open",NA,"info@blythefield.belfast.ni.sch.uk","101-6207"
"485","1016242","Dundela Infants School",NA,290,NA,NA,52,0,81,82,75,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WILGAR STREET",NA,NA,"BELFAST","ANTRIM","BT4 3BL","028 9047 1234","Controlled","Primary","Open",NA,"info@dundela.belfast.ni.sch.uk","101-6242"
"486","1016485","Glenwood Primary School",NA,512,NA,NA,0,0,62,71,82,71,78,70,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-22 UPPER RIGA STREET",NA,NA,"BELFAST","ANTRIM","BT13 3GW","028 9032 8341","Controlled","Primary","Open",NA,"info@glenwood.belfast.ni.sch.uk","101-6485"
"487","1016498","Malvern Primary School",NA,115,NA,NA,0,0,22,12,18,18,17,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-35 FORSTER STREET",NA,NA,"BELFAST","ANTRIM","BT13 1HW","028 9024 3803","Controlled","Primary","Open",NA,"info@malvern.belfast.ni.sch.uk","101-6498"
"488","1016499","Botanic Primary School",NA,206,NA,NA,26,0,24,26,27,26,28,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 BOTANIC COURT",NA,NA,"BELFAST","ANTRIM","BT7 1QY","028 9032 8346","Controlled","Primary","Open",NA,"info@botanic.belfast.ni.sch.uk","101-6499"
"489","1016532","Wheatfield Primary School",NA,140,NA,NA,26,0,11,16,20,13,23,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALLIANCE ROAD",NA,NA,"BELFAST","ANTRIM","BT14 7JE","028 9039 1961","Controlled","Primary","Open",NA,"info@wheatfield.belfast.ni.sch.uk","101-6532"
"490","1016537","Lowwood Primary School",NA,242,NA,NA,52,0,29,21,27,29,27,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHERINGHURST PARK",NA,NA,"BELFAST","ANTRIM","BT15 4BL","028 9037 0094","Controlled","Primary","Open",NA,"info@lowwood.belfast.ni.sch.uk","101-6537"
"491","1016604","Harmony Primary School",NA,276,NA,NA,52,0,27,37,34,31,38,23,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FORTHRIVER CRESCENT",NA,NA,"BELFAST","ANTRIM","BT13 3SY","028 9039 1332","Controlled","Primary","Open",NA,"info@harmony.belfast.ni.sch.uk","101-6604"
"492","1016647","Bunscoil Mhic Reachtain",NA,102,NA,NA,0,0,12,20,8,13,18,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10A LANCASTER STREET",NA,NA,"BELFAST","ANTRIM","BT15 1EZ","028 9032 2409","Controlled","Primary","Open",NA,"info@bunscoilmhicreachtain.belfast.ni.sch.uk","101-6647"
"493","1016655","Victoria Park Primary School",NA,386,NA,NA,0,0,44,55,54,63,58,59,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strandburn Street",NA,NA,"BELFAST","ANTRIM","BT4  1LX","02890 471274","Controlled","Primary","Open",NA,"info@victoriaparkps.belfast.ni.sch.uk","101-6655"
"494","1030194","Holy Cross Boys' Primary School",NA,395,NA,NA,0,0,61,57,58,46,60,58,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BROOKFIELD STREET",NA,NA,"BELFAST","ANTRIM","BT14 7EX","028 9035 1032","Roman Catholic Maintained","Primary","Open",NA,"info@holycrossboys.belfast.ni.sch.uk","103-0194"
"495","1030313","Our Lady of Lourdes Primary School",NA,624,NA,NA,0,0,85,86,92,85,92,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700 ANTRIM ROAD",NA,NA,"BELFAST","ANTRIM","BT15 5GQ","028 9037 0686","Roman Catholic Maintained","Primary","Open",NA,"info@ourladyoflourdes.belfast.ni.sch.uk","103-0313"
"496","1030326","Our Lady's Girls' Primary School",NA,288,NA,NA,0,0,25,22,32,51,45,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEANBY GARDENS",NA,NA,"BELFAST","ANTRIM","BT14 6NN","028 9074 6325","Roman Catholic Maintained","Primary","Open",NA,"info@ourladysgirlsprimary.belfast.ni.sch.uk","103-0326"
"497","1030327","Holy Rosary Primary School",NA,508,NA,NA,0,0,60,68,64,69,84,78,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70 SUNNYSIDE CRESCENT",NA,NA,"BELFAST","ANTRIM","BT7 3DB","028 90-491817","Roman Catholic Maintained","Primary","Open",NA,"info@holyrosary.belfast.ni.sch.uk","103-0327"
"498","1030331","Holy Cross Girls' Primary School",NA,202,NA,NA,0,0,28,34,21,27,33,31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARDOYNE ROAD",NA,NA,"BELFAST","ANTRIM","BT14 7HZ","028 9039 1771","Roman Catholic Maintained","Primary","Open",NA,"info@holycrossgirls.belfast.ni.sch.uk","103-0331"
"499","1030868","St Anne's Primary School",NA,894,NA,NA,52,0,121,114,121,124,120,120,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 KINGSWAY","LISBURN ROAD",NA,"BELFAST","ANTRIM","BT10 0NE","028 9061 5414","Roman Catholic Maintained","Primary","Open",NA,"info@stannes.belfast.ni.sch.uk","103-0868"
"500","1036041","Mercy Primary School",NA,227,NA,NA,0,0,28,29,25,45,29,38,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"614 CRUMLIN ROAD",NA,NA,"BELFAST","ANTRIM","BT14 7GL","028 9039 1670","Roman Catholic Maintained","Primary","Open",NA,"info@mercy.belfast.ni.sch.uk","103-6041"
"501","1036042","St Vincent de Paul Primary School",NA,310,NA,NA,28,0,37,37,43,32,48,43,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"165A LIGONIEL ROAD",NA,NA,"BELFAST","ANTRIM","BT14 8DP","028 9071 7920","Roman Catholic Maintained","Primary","Open",NA,"info@stvincentdepaul.belfast.ni.sch.uk","103-6042"
"502","1036048","St Mary's Star of the Sea Primary School",NA,149,NA,NA,0,0,27,18,15,17,27,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730-760 SHORE ROAD",NA,NA,"BELFAST","ANTRIM","BT15 4HL","028 9037 0023","Roman Catholic Maintained","Primary","Open",NA,"info@stmarysstarofthesea.belfast.ni.sch.uk","103-6048"
"503","1036075","St Bride's Primary School",NA,880,NA,NA,52,0,117,119,112,121,124,117,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 DERRYVOLGIE AVENUE",NA,NA,"BELFAST","ANTRIM","BT9 6FP","028 9038 1700","Roman Catholic Maintained","Primary","Open",NA,"info@stbrides.belfast.ni.sch.uk","103-6075"
"504","1036132","St Therese of Lisieux Primary School",NA,425,NA,NA,0,0,56,62,52,64,63,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"472 ANTRIM ROAD",NA,NA,"BELFAST","ANTRIM","BT15 5GF","028 9077 0215","Roman Catholic Maintained","Primary","Open",NA,"info@stthereseoflisieux.belfast.ni.sch.uk","103-6132"
"505","1036140","St Michael's Primary School",NA,410,NA,NA,0,0,58,60,57,55,60,58,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,"514 RAVENHILL ROAD",NA,NA,"BELFAST","ANTRIM","BT6 0BW","028 9049 1529","Roman Catholic Maintained","Primary","Open",NA,"info@stmichaels.belfast.ni.sch.uk","103-6140"
"506","1036246","St Joseph's Primary School",NA,359,NA,NA,0,0,51,41,53,50,61,60,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31A HOLLAND DRIVE",NA,NA,"BELFAST","ANTRIM","BT5 6EH","028 9065 0039","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsps.belfast.ni.sch.uk","103-6246"
"507","1036388","St Mary's Primary School",NA,121,NA,NA,0,0,7,13,15,19,18,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","1036466","St Malachy's Primary School",NA,391,NA,NA,52,0,46,49,49,47,52,51,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 ELIZA STREET",NA,NA,"BELFAST","ANTRIM","BT7  2BJ","028 9032 7460","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachysps.belfast.ni.sch.uk","103-6466"
"509","1036471","Sacred Heart Primary School",NA,156,NA,NA,0,0,16,28,18,23,29,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31-51 OLDPARK AVENUE",NA,NA,"BELFAST","ANTRIM","BT14 6HH","028 9074 0521","Roman Catholic Maintained","Primary","Open",NA,"info@sacredheartboys.belfast.ni.sch.uk","103-6471"
"510","1036505","St Matthew's Primary School",NA,344,NA,NA,49,0,43,37,42,56,45,34,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEAFORDE STREET",NA,NA,"BELFAST","ANTRIM","BT5 4EW","028 9045 7885","Roman Catholic Maintained","Primary","Open",NA,"info@stmatthewsps.belfast.ni.sch.uk","103-6505"
"511","1036565","St Kevin's Primary School",NA,595,NA,NA,0,0,73,89,87,78,91,95,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"446 FALLS ROAD",NA,NA,"BELFAST","ANTRIM","BT12 6EN","028 9032 6791","Roman Catholic Maintained","Primary","Open",NA,"info@stkevins.belfast.ni.sch.uk","103-6565"
"512","1036566","Holy Family Primary School",NA,483,NA,NA,52,0,61,63,60,63,65,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 NEWINGTON AVENUE",NA,NA,"BELFAST","ANTRIM","BT15 2HP","028 9035 1023","Roman Catholic Maintained","Primary","Open",NA,"info@holyfamily.belfast.ni.sch.uk","103-6566"
"513","1036576","Holy Child Primary School",NA,542,NA,NA,27,0,69,60,63,80,87,74,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 SOUTH GREEN","ANDERSONSTOWN",NA,"BELFAST","ANTRIM","BT11 8JF","028 9061 4823","Roman Catholic Maintained","Primary","Open",NA,"info@holychild.belfast.ni.sch.uk","103-6576"
"514","1036589","St Teresa's Primary School",NA,563,NA,NA,0,0,77,78,102,92,69,78,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLEN ROAD",NA,NA,"BELFAST","ANTRIM","BT11 8BL","028 90 611943","Roman Catholic Maintained","Primary","Open",NA,"info@stteresas.belfast.ni.sch.uk","103-6589"
"515","1036602","St Oliver Plunkett Primary School",NA,672,NA,NA,0,0,92,91,98,107,97,85,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,"452 GLEN ROAD",NA,NA,"BELFAST","ANTRIM","BT11 8AY","028 9080 6777","Roman Catholic Maintained","Primary","Open",NA,"info@stoliverplunkett.belfast.ni.sch.uk","103-6602"
"516","1036620","St Peter's Primary School",NA,341,NA,NA,0,0,43,46,50,43,53,50,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSS ROAD",NA,NA,"BELFAST","ANTRIM","BT12 4JD","028 9024 2271","Roman Catholic Maintained","Primary","Open",NA,"info@stpeters.belfast.ni.sch.uk","103-6620"
"517","1036621","St Joseph's Primary School",NA,310,NA,NA,0,0,43,52,44,44,51,36,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CULLINGTREE ROAD",NA,NA,"BELFAST","ANTRIM","BT12 4LD","028 9032 3683","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsslatestreet.belfast.ni.sch.uk","103-6621"
"518","1036623","Holy Trinity Primary School",NA,638,NA,NA,0,0,88,84,88,99,89,97,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONAGH ROAD",NA,NA,"BELFAST","ANTRIM","BT11 8EG","028 9061 6465","Roman Catholic Maintained","Primary","Open",NA,"info@holytrinity.belfast.ni.sch.uk","103-6623"
"519","1036624","St Paul's Primary School",NA,404,NA,NA,53,0,53,55,33,45,56,53,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34-36 MICA DRIVE",NA,NA,"BELFAST","ANTRIM","BT12 7NN","028 9032 8968","Roman Catholic Maintained","Primary","Open",NA,"info@stpaulsmica.belfast.ni.sch.uk","103-6624"
"520","1036630","St Clare's Primary School",NA,483,NA,NA,52,0,66,66,54,57,53,66,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323 CUPAR STREET","CLONARD",NA,"BELFAST","ANTRIM","BT13 2SE","028 9033 0852","Roman Catholic Maintained","Primary","Open",NA,"info@stclares.belfast.ni.sch.uk","103-6630"
"521","1036688","St John the Baptist Primary School",NA,371,NA,NA,0,0,56,45,41,54,57,57,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINAGHY ROAD NORTH",NA,NA,"BELFAST","ANTRIM","BT11 9EH","028 9061 4546","Roman Catholic Maintained","Primary","Open",NA,"info@stjohnthebaptistps.belfast.ni.sch.uk","103-6688"
"522","1036697","John Paul II Primary School",NA,314,NA,NA,0,0,45,37,48,51,51,50,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whiterock Road",NA,NA,"BELFAST","ANTRIM","BT12 7FW","9032 0565","Roman Catholic Maintained","Primary","Open",NA,"info@johnpaul2ndps.belfast.ni.sch.uk","103-6697"
"523","1036698","St Patricks Primary School",NA,494,NA,NA,0,0,49,73,67,69,87,79,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Churchill Street",NA,NA,"BELFAST","ANTRIM","BT15 2BP","02890 351478","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.belfast.ni.sch.uk","103-6698"
"524","1046501","Bunscoil Phobal Feirste",NA,414,NA,NA,60,0,60,58,46,51,56,42,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 ROSGOILL PARK",NA,NA,"BELFAST","ANTRIM","BT11 9QS","028 9030 1598","Other Maintained","Primary","Open",NA,"info@bunscoilphobalfeirste.belfast.ni.sch.uk","104-6501"
"525","1046571","Gaelscoil Na Bhfal",NA,215,NA,NA,29,0,30,26,24,27,29,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","1046593","Bunscoil An Tsleibhe Dhuibh",NA,214,NA,NA,28,0,29,26,28,26,27,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15A Ballymurphy Road",NA,NA,"BELFAST","ANTRIM","BT12 7JL","028 9023 7146","Other Maintained","Primary","Open",NA,"info@bunscoilantsleibhedhuibh.belfast.ni.sch.uk","104-6593"
"527","1046596","Bunscoil Bheann Mhadagain",NA,184,NA,NA,26,0,22,24,21,28,25,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","1046641","Scoil An Droichid",NA,175,NA,NA,24,0,23,24,22,27,19,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","1046671","Gaelscoil na Mona",NA,143,NA,NA,26,0,21,21,18,14,13,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","1046672","Gaelscoil an Lonnain",NA,58,NA,NA,0,0,11,12,4,8,5,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61 Falls Road","Belfast",NA,"BELFAST","ANTRIM","BT12 4PD","028 90 240241","Other Maintained","Primary","Open",NA,"info@gaelscoilanlonnain.belfast.ni.sch.uk","104-6672"
"531","1056483","Cliftonville Integrated Primary School",NA,411,NA,NA,26,0,58,57,51,57,57,52,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93 CLIFTONVILLE ROAD",NA,NA,"BELFAST","ANTRIM","BT14 6JQ","028 9035 1638","Controlled Integrated","Primary","Open",NA,"info@cliftonville.belfast.ni.sch.uk","105-6483"
"532","1056535","Forge Integrated Primary School",NA,400,NA,NA,0,0,60,55,54,56,57,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 CAROLAN ROAD",NA,NA,"BELFAST","ANTRIM","BT7 3HE","028 9049 2177","Controlled Integrated","Primary","Open",NA,"info@forge.belfast.ni.sch.uk","105-6535"
"533","1066531","Hazelwood Primary School",NA,447,NA,NA,52,0,56,55,52,56,60,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,"242 WHITEWELL ROAD",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 7EN","028 9077 0421","Grant Maintained Integrated","Primary","Open",NA,"info@hazelwoodintegratedps.belfast.ni.sch.uk","106-6531"
"534","1066580","Cranmore Integrated Primary School",NA,226,NA,NA,26,0,30,29,31,27,28,29,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 FINAGHY ROAD NORTH",NA,NA,"BELFAST","ANTRIM","BT10 0JB","028 90664410","Grant Maintained Integrated","Primary","Open",NA,"info@cranmore.belfast.ni.sch.uk","106-6580"
"535","1620020","Campbell College Junior School",NA,212,NA,NA,0,0,24,17,29,36,23,39,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"562-594 Upper Newtownards Road",NA,NA,"BELFAST","ANTRIM","BT4  3HJ","028 90763076","Voluntary","Preps","Open",NA,"info@campbellcollegejs.belfast.ni.sch.uk","162-0020"
"536","1620022","Fullerton House Preparatory School",NA,132,NA,NA,0,0,9,20,17,19,21,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 MALONE ROAD",NA,NA,"BELFAST","ANTRIM","BT9 6BY","028 90205217","Voluntary","Preps","Open",NA,"info@fullertonhouse.belfast.ni.sch.uk","162-0022"
"537","1620023","Downey House School",NA,106,NA,NA,0,0,6,8,17,13,18,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 PIRRIE PARK GARDENS",NA,NA,"BELFAST","ANTRIM","BT6  0AG","028 90286660","Voluntary","Preps","Open",NA,"info@downeyhouse.belfast.ni.sch.uk","162-0023"
"538","1620027","Inchmarlo",NA,137,NA,NA,0,0,10,24,19,19,19,24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRANMORE PARK",NA,NA,"BELFAST","ANTRIM","BT9 6JR","028 90381454","Voluntary","Preps","Open",NA,"info@inchmarlo.belfast.ni.sch.uk","162-0027"
"539","1620028","Ben Madigan Preparatory School",NA,119,NA,NA,0,0,21,9,12,12,19,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"690 ANTRIM ROAD",NA,NA,"BELFAST","ANTRIM","BT15 5GP","028 90771139","Voluntary","Preps","Open",NA,"info@benmadigan.belfast.ni.sch.uk","162-0028"
"540","1620089","Strathearn School",NA,138,NA,NA,0,0,11,18,21,18,23,24,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"188 BELMONT ROAD",NA,NA,"BELFAST","ANTRIM","BT4 2AU","028 9047 1595","Voluntary","Preps","Open",NA,"info@strathearn.belfast.ni.sch.uk","162-0089"
"541","1620264","Victoria College Prepatory School",NA,142,NA,NA,0,0,22,17,17,19,20,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRANMORE PARK",NA,NA,"BELFAST","ANTRIM","BT9 6JA","028 90661506","Voluntary","Preps","Open",NA,"info@victoriacollege.belfast.ni.sch.uk","162-0264"
"542","2010380","Londonderry Model Primary School",NA,274,NA,NA,26,0,31,41,32,39,33,35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHLAND ROAD",NA,NA,"LONDONDERRY","LONDONDERRY","BT48 7HJ","028 7126 2188","Controlled","Primary","Open",NA,"info@model.londonderry.ni.sch.uk","201-0380"
"543","2010382","Ebrington Primary and Nursery School",NA,464,NA,NA,53,0,57,59,63,62,53,60,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clooney Campus","67b Limavady Road",NA,"LONDONDERRY","LONDONDERRY","BT47 6LR","028 7134 3864","Controlled","Primary","Open",NA,"info@ebrington.londonderry.ni.sch.uk","201-0382"
"544","2011787","Kesh Primary School",NA,245,NA,NA,26,0,30,26,35,35,36,32,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44 CREVENISH ROAD","KESH",NA,"ENNISKILLEN","FERMANAGH","BT93 1RF","028 6863 1441","Controlled","Primary","Open",NA,"info@kesh.enniskillen.ni.sch.uk","201-1787"
"545","2011789","Moat Primary School",NA,144,NA,NA,0,0,22,20,20,18,17,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LISNASKEA",NA,NA,"ENNISKILLEN","FERMANAGH","BT92 0JH","028 6772 1212","Controlled","Primary","Open",NA,"info@moatps.lisnaskea.ni.sch.uk","201-1789"
"546","2011860","Belleek Primary School",NA,31,NA,NA,0,0,7,5,4,1,10,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CORRY","BELLEEK",NA,"ENNISKILLEN","FERMANAGH","BT93 3EZ","028 686 58211","Controlled","Primary","Open",NA,"info@belleekps.belleek.ni.sch.uk","201-1860"
"547","2011873","Aghadrumsee Primary School",NA,45,NA,NA,0,1,5,2,7,4,9,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 AGHADRUMSEE ROAD",NA,NA,"ENNISKILLEN","FERMANAGH","BT92 7AU","028 6775 1285","Controlled","Primary","Open",NA,"info@aghadrumseeps.enniskillen.ni.sch.uk","201-1873"
"548","2011879","Newtownbutler Primary School",NA,35,NA,NA,0,0,6,3,4,8,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58 HIGH STREET","NEWTOWNBUTLER",NA,"ENNISKILLEN","FERMANAGH","BT92 8JE","028 6773 8248","Controlled","Primary","Open",NA,"info@newtownbutlerps.enniskillen.ni.sch.uk","201-1879"
"549","2011881","Florencecourt Primary School",NA,133,NA,NA,26,0,18,19,8,20,14,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drumlaghy Two,",NA,NA,"ENNISKILLEN","FERMANAGH","BT92 1BZ","028 6634 8225","Controlled","Primary","Open",NA,"info@florencecourt.enniskillen.ni.sch.uk","201-1881"
"550","2011893","Ballinamallard Primary School",NA,146,NA,NA,26,0,21,20,13,13,19,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19 BARAGH ROAD","BALLINAMALLARD",NA,"ENNISKILLEN","FERMANAGH","BT94 2NY","028 6638 8262","Controlled","Primary","Open",NA,"info@ballinamallardps.enniskillen.ni.sch.uk","201-1893"
